"x","y"
"2017-08-14","922.669983"
"2017-08-15","922.2199710000001"
"2017-08-16","926.9600220000001"
"2017-08-17","910.9799800000001"
"2017-08-18","910.669983"
"2017-08-21","906.659973"
"2017-08-22","924.6900019999999"
"2017-08-23","927.0"
"2017-08-24","921.2800289999999"
"2017-08-25","915.8900150000001"
"2017-08-28","913.8099980000001"
"2017-08-29","921.2899779999999"
"2017-08-30","929.570007"
"2017-08-31","939.330017"
"2017-09-01","937.340027"
"2017-09-05","928.4500119999999"
"2017-09-06","927.8099980000001"
"2017-09-07","935.9500119999999"
"2017-09-08","926.5"
"2017-09-11","929.080017"
"2017-09-12","932.070007"
"2017-09-13","935.090027"
"2017-09-14","925.1099849999999"
"2017-09-15","920.2899779999999"
"2017-09-18","915.0"
"2017-09-19","921.8099980000001"
"2017-09-20","931.580017"
"2017-09-21","932.4500119999999"
"2017-09-22","928.5300289999999"
"2017-09-25","920.9699710000001"
"2017-09-26","924.8599849999999"
"2017-09-27","944.48999"
"2017-09-28","949.5"
"2017-09-29","959.1099849999999"
"2017-10-02","953.2700199999999"
"2017-10-03","957.7899779999999"
"2017-10-04","951.679993"
"2017-10-05","969.9600220000001"
"2017-10-06","978.8900150000001"
"2017-10-09","977.0"
"2017-10-10","972.599976"
"2017-10-11","989.25"
"2017-10-12","987.830017"
"2017-10-13","989.679993"
"2017-10-16","992.0"
"2017-10-17","992.179993"
"2017-10-18","992.8099980000001"
"2017-10-19","984.4500119999999"
"2017-10-20","988.2000119999999"
"2017-10-23","968.4500119999999"
"2017-10-24","970.5399779999999"
"2017-10-25","973.330017"
"2017-10-26","972.5599980000001"
"2017-10-27","1019.2700199999999"
"2017-10-30","1017.1099849999999"
"2017-10-31","1016.6400150000001"
"2017-11-01","1025.5"
"2017-11-02","1025.579956"
"2017-11-03","1032.47998"
"2017-11-06","1025.900024"
"2017-11-07","1033.329956"
"2017-11-08","1039.849976"
"2017-11-09","1031.26001"
"2017-11-10","1028.069946"
"2017-11-13","1025.75"
"2017-11-14","1026.0"
"2017-11-15","1020.909973"
"2017-11-16","1032.5"
"2017-11-17","1019.090027"
"2017-11-20","1018.3800050000001"
"2017-11-21","1034.48999"
"2017-11-22","1035.959961"
"2017-11-24","1040.609985"
"2017-11-27","1054.209961"
"2017-11-28","1047.410034"
"2017-11-29","1021.659973"
"2017-11-30","1021.409973"
"2017-12-01","1010.169983"
"2017-12-04","998.679993"
"2017-12-05","1005.150024"
"2017-12-06","1018.3800050000001"
"2017-12-07","1030.930054"
"2017-12-08","1037.050049"
"2017-12-11","1041.099976"
"2017-12-12","1040.47998"
"2017-12-13","1040.609985"
"2017-12-14","1049.150024"
"2017-12-15","1064.189941"
"2017-12-18","1077.140015"
"2017-12-19","1070.680054"
"2017-12-20","1064.949951"
"2017-12-21","1063.630005"
"2017-12-22","1060.119995"
"2017-12-26","1056.73999"
"2017-12-27","1049.369995"
"2017-12-28","1048.140015"
"2017-12-29","1046.400024"
"2018-01-02","1065.0"
"2018-01-03","1082.47998"
"2018-01-04","1086.400024"
"2018-01-05","1102.22998"
"2018-01-08","1106.939941"
"2018-01-09","1106.26001"
"2018-01-10","1102.609985"
"2018-01-11","1105.52002"
"2018-01-12","1122.26001"
"2018-01-16","1121.76001"
"2018-01-17","1131.97998"
"2018-01-18","1129.790039"
"2018-01-19","1137.51001"
"2018-01-22","1155.810059"
"2018-01-23","1169.969971"
"2018-01-24","1164.23999"
"2018-01-25","1170.369995"
"2018-01-26","1175.839966"
"2018-01-29","1175.579956"
"2018-01-30","1163.689941"
"2018-01-31","1169.939941"
"2018-02-01","1167.699951"
"2018-02-02","1111.900024"
"2018-02-05","1055.800049"
"2018-02-06","1080.599976"
"2018-02-07","1048.579956"
"2018-02-08","1001.5200199999999"
"2018-02-09","1037.780029"
"2018-02-12","1051.939941"
"2018-02-13","1052.099976"
"2018-02-14","1069.699951"
"2018-02-15","1089.52002"
"2018-02-16","1094.800049"
"2018-02-20","1102.459961"
"2018-02-21","1111.339966"
"2018-02-22","1106.630005"
"2018-02-23","1126.790039"
"2018-02-26","1143.75"
"2018-02-27","1118.290039"
"2018-02-28","1104.72998"
"2018-03-01","1069.52002"
"2018-03-02","1078.920044"
"2018-03-05","1090.930054"
"2018-03-06","1095.060059"
"2018-03-07","1109.640015"
"2018-03-08","1126.0"
"2018-03-09","1160.040039"
"2018-03-12","1164.5"
"2018-03-13","1138.170044"
"2018-03-14","1149.48999"
"2018-03-15","1149.579956"
"2018-03-16","1135.72998"
"2018-03-19","1099.819946"
"2018-03-20","1097.709961"
"2018-03-21","1090.880005"
"2018-03-22","1049.079956"
"2018-03-23","1021.570007"
"2018-03-26","1053.209961"
"2018-03-27","1005.099976"
"2018-03-28","1004.5599980000001"
"2018-03-29","1031.790039"
"2018-04-02","1006.4699710000001"
"2018-04-03","1013.409973"
"2018-04-04","1025.140015"
"2018-04-05","1027.810059"
"2018-04-06","1007.0399779999999"
"2018-04-09","1015.4500119999999"
"2018-04-10","1031.640015"
"2018-04-11","1019.9699710000001"
"2018-04-12","1032.51001"
"2018-04-13","1029.27002"
"2018-04-16","1037.97998"
"2018-04-17","1074.160034"
"2018-04-18","1072.079956"
"2018-04-19","1087.699951"
"2018-04-20","1072.959961"
"2018-04-23","1067.449951"
"2018-04-24","1019.9799800000001"
"2018-04-25","1021.179993"
"2018-04-26","1040.040039"
"2018-04-27","1030.050049"
"2018-04-30","1017.330017"
"2018-05-01","1037.310059"
"2018-05-02","1024.380005"
"2018-05-03","1023.7199710000001"
"2018-05-04","1048.209961"
"2018-05-07","1054.790039"
"2018-05-08","1053.910034"
"2018-05-09","1082.76001"
"2018-05-10","1097.569946"
"2018-05-11","1098.26001"
"2018-05-14","1100.199951"
"2018-05-15","1079.22998"
"2018-05-16","1081.77002"
"2018-05-17","1078.589966"
"2018-05-18","1066.359985"
"2018-05-21","1079.579956"
"2018-05-22","1069.72998"
"2018-05-23","1079.689941"
"2018-05-24","1079.23999"
"2018-05-25","1075.660034"
"2018-05-29","1060.319946"
"2018-05-30","1067.800049"
"2018-05-31","1084.98999"
"2018-06-01","1119.5"
"2018-06-04","1139.290039"
"2018-06-05","1139.660034"
"2018-06-06","1136.880005"
"2018-06-07","1123.859985"
"2018-06-08","1120.869995"
"2018-06-11","1129.98999"
"2018-06-12","1139.319946"
"2018-06-13","1134.790039"
"2018-06-14","1152.119995"
"2018-06-15","1152.26001"
"2018-06-18","1173.459961"
"2018-06-19","1168.060059"
"2018-06-20","1169.839966"
"2018-06-21","1157.660034"
"2018-06-22","1155.47998"
"2018-06-25","1124.810059"
"2018-06-26","1118.459961"
"2018-06-27","1103.97998"
"2018-06-28","1114.219971"
"2018-06-29","1115.650024"
"2018-07-02","1127.459961"
"2018-07-03","1102.890015"
"2018-07-05","1124.27002"
"2018-07-06","1140.170044"
"2018-07-09","1154.050049"
"2018-07-10","1152.839966"
"2018-07-11","1153.900024"
"2018-07-12","1183.47998"
"2018-07-13","1188.819946"
"2018-07-16","1183.859985"
"2018-07-17","1198.800049"
"2018-07-18","1195.880005"
"2018-07-19","1186.959961"
"2018-07-20","1184.910034"
"2018-07-23","1205.5"
"2018-07-24","1248.079956"
"2018-07-25","1263.699951"
"2018-07-26","1268.329956"
"2018-07-27","1238.5"
"2018-07-30","1219.73999"
"2018-07-31","1217.26001"
"2018-08-01","1220.01001"
"2018-08-02","1226.150024"
"2018-08-03","1223.709961"
"2018-08-06","1224.77002"
"2018-08-07","1242.219971"
"2018-08-08","1245.609985"
"2018-08-09","1249.099976"
"2018-08-10","1237.609985"
